s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.0814123E+000, 1.2724015E+001,-3.3707595E+000, 1.2055702E-001,-1.2096596E-001, 2.5608599E-003, 0.0000000E+000, 0.0000000E+000, 9.4692423E+000, 9.3554076E+000, 6.5670305E-004, 6.5670305E-004
 4.2064490E+000, 1.2626021E+001,-3.2872641E+000, 1.1425048E-001,-1.2428353E-001, 2.5626197E-003, 0.0000000E+000, 0.0000000E+000, 9.3869045E+000, 9.3312862E+000, 6.5678589E-004, 6.5678589E-004
 4.3314857E+000, 1.2570139E+001,-3.2104097E+000, 1.0647505E-001,-1.3127403E-001, 2.5633119E-003, 0.0000000E+000, 0.0000000E+000, 9.3670549E+000, 9.3374935E+000, 6.5685041E-004, 6.5685041E-004
 4.4565220E+000, 1.2538460E+001,-3.1724242E+000, 9.5905035E-002,-1.4232714E-001, 2.5631116E-003, 0.0000000E+000, 0.0000000E+000, 9.3792469E+000, 9.3221766E+000, 6.5690066E-004, 6.5690066E-004
 4.5815587E+000, 1.2520606E+001,-3.1501064E+000, 8.2449667E-002,-1.5868987E-001, 2.5622923E-003, 0.0000000E+000, 0.0000000E+000, 9.3720504E+000, 9.2968215E+000, 6.5693979E-004, 6.5693979E-004
 4.7065954E+000, 1.2510616E+001,-3.1798729E+000, 6.5388378E-002,-1.8096239E-001, 2.5611561E-003, 0.0000000E+000, 0.0000000E+000, 9.3569878E+000, 9.2177301E+000, 6.5697027E-004, 6.5697027E-004
 4.8316321E+000, 1.2505093E+001,-3.2244970E+000, 4.5777529E-002,-2.0781695E-001, 2.5599819E-003, 0.0000000E+000, 0.0000000E+000, 9.2911147E+000, 9.1211161E+000, 6.5699400E-004, 6.5699400E-004
 4.9566684E+000, 1.2502136E+001,-3.2937991E+000, 2.4331172E-002,-2.3878775E-001, 2.5589794E-003, 0.0000000E+000, 0.0000000E+000, 9.2106324E+000, 8.9964398E+000, 6.5701249E-004, 6.5701249E-004
 5.0817051E+000, 1.2500650E+001,-3.3306088E+000, 3.2300403E-003,-2.7167956E-001, 2.5582172E-003, 0.0000000E+000, 0.0000000E+000, 9.1040794E+000, 8.9041499E+000, 6.5702688E-004, 6.5702688E-004
 5.2067418E+000, 1.2499980E+001,-3.3609846E+000,-1.8382744E-002,-3.0434923E-001, 2.5577038E-003, 0.0000000E+000, 0.0000000E+000, 9.0303418E+000, 8.8188208E+000, 6.5703809E-004, 6.5703809E-004
 5.3317785E+000, 1.2499744E+001,-3.3561488E+000,-4.3704850E-002,-3.3515854E-001, 2.5573711E-003, 0.0000000E+000, 0.0000000E+000, 8.9614479E+000, 8.7672889E+000, 6.5704682E-004, 6.5704682E-004
 5.4568148E+000, 1.2499713E+001,-3.3590672E+000,-7.6123624E-002,-3.6408976E-001, 2.5571079E-003, 0.0000000E+000, 0.0000000E+000, 8.9211537E+000, 8.7029897E+000, 6.5705362E-004, 6.5705362E-004
 5.5818515E+000, 1.2499763E+001,-3.3568017E+000,-1.1601674E-001,-3.9066133E-001, 2.5568208E-003, 0.0000000E+000, 0.0000000E+000, 8.8656564E+000, 8.6388397E+000, 6.5705891E-004, 6.5705891E-004
 5.7068882E+000, 1.2499823E+001,-3.3496956E+000,-1.6900446E-001,-4.1533757E-001, 2.5564287E-003, 0.0000000E+000, 0.0000000E+000, 8.8082024E+000, 8.5683415E+000, 6.5706304E-004, 6.5706304E-004
 5.8319249E+000, 1.2499867E+001,-3.3414960E+000,-2.3651312E-001,-4.4057536E-001, 2.5558106E-003, 0.0000000E+000, 0.0000000E+000, 8.7386718E+000, 8.4838384E+000, 6.5706625E-004, 6.5706625E-004
 5.9569616E+000, 1.2499901E+001,-3.3340883E+000,-3.0995424E-001,-4.6458025E-001, 2.5549037E-003, 0.0000000E+000, 0.0000000E+000, 8.6588523E+000, 8.3938329E+000, 6.5706875E-004, 6.5706875E-004
 6.0945015E+000, 1.2191084E+001,-3.3261433E+000,-3.9286579E-001,-4.8873565E-001, 2.5536835E-003, 0.0000000E+000, 0.0000000E+000, 8.5730645E+000, 7.9858929E+000, 6.5707086E-004, 6.5707086E-004
 6.2320418E+000, 1.2332064E+001,-3.2450979E+000,-4.5544131E-001,-5.1047763E-001, 2.5520437E-003, 0.0000000E+000, 0.0000000E+000, 8.1784012E+000, 8.1235991E+000, 6.5707247E-004, 6.5707247E-004
 6.3695822E+000, 1.2408677E+001,-3.2645704E+000,-5.0732584E-001,-5.3213553E-001, 2.5494237E-003, 0.0000000E+000, 0.0000000E+000, 8.3315064E+000, 8.1071945E+000, 6.5707369E-004, 6.5707369E-004
 6.5071225E+000, 1.2450403E+001,-3.2932216E+000,-5.4537877E-001,-5.5282360E-001, 2.5465404E-003, 0.0000000E+000, 0.0000000E+000, 8.3280583E+000, 8.0615255E+000, 6.5707462E-004, 6.5707462E-004
